Country,Variable,Category,all_Mean,all_SE,reading_Mean,reading_SE,math_Mean,math_SE,science_Mean,science_SE
Peru,SC26Q01,1,24.48,2.66,408,10.04,391,8.63,394,8.06
Peru,SC26Q01,2,68.79,2.83,376,5.20,361,4.34,366,3.95
Peru,SC26Q01,3,6.04,1.91,379,14.03,355,10.94,365,12.48
Peru,SC26Q01,4,0.13,0.13,a  ,a  ,a  ,a  ,a  ,a  
Peru,SC26Q01,m,0.57,0.57,441,9.66,397,6.55,389,8.03
Qatar,SC26Q01,1,62.46,0.09,386,1.20,377,1.06,383,1.01
Qatar,SC26Q01,2,34.56,0.09,389,1.36,371,1.10,382,1.17
Qatar,SC26Q01,3,2.98,0.04,408,5.61,418,4.74,413,5.31
Qatar,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Qatar,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Romania,SC26Q01,1,30.72,3.69,431,9.37,441,8.09,438,7.36
Romania,SC26Q01,2,63.74,3.99,442,5.49,448,5.17,440,4.84
Romania,SC26Q01,3,5.32,1.83,430,16.73,432,10.89,432,13.08
Romania,SC26Q01,4,0.23,0.23,a  ,a  ,a  ,a  ,a  ,a  
Romania,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Russian Federation,SC26Q01,1,30.37,3.17,490,8.48,496,7.29,501,7.85
Russian Federation,SC26Q01,2,67.38,3.36,470,3.56,477,2.92,481,3.28
Russian Federation,SC26Q01,3,2.25,0.90,413,15.17,421,12.88,432,13.00
Russian Federation,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Russian Federation,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Serbia,SC26Q01,1,26.50,3.17,457,10.01,461,9.88,458,9.14
Serbia,SC26Q01,2,65.91,3.60,442,5.59,443,5.32,440,5.15
Serbia,SC26Q01,3,7.59,2.34,439,16.94,443,16.65,436,15.86
Serbia,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Serbia,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Singapore,SC26Q01,1,26.24,0.24,564,2.56,599,2.58,577,2.68
Singapore,SC26Q01,2,67.28,0.28,540,1.77,570,1.54,548,1.68
Singapore,SC26Q01,3,5.82,0.09,483,4.54,516,4.40,496,4.46
Singapore,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Singapore,SC26Q01,m,0.67,0.03,507,15.54,526,15.03,507,14.72
Thailand,SC26Q01,1,27.49,3.36,459,7.11,445,7.79,462,6.93
Thailand,SC26Q01,2,62.63,3.14,437,4.23,422,4.61,440,4.08
Thailand,SC26Q01,3,8.55,2.14,419,10.58,411,11.39,422,9.01
Thailand,SC26Q01,4,1.33,0.94,396,28.33,379,17.17,396,22.98
Thailand,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Tunisia,SC26Q01,1,18.51,3.17,408,13.15,401,13.21,402,12.95
Tunisia,SC26Q01,2,55.77,4.01,401,6.36,384,5.39,395,5.07
Tunisia,SC26Q01,3,21.42,3.08,412,11.30,390,8.41,405,8.18
Tunisia,SC26Q01,4,4.31,1.87,383,27.56,371,14.90,393,16.66
Tunisia,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Arab Emirates,SC26Q01,1,40.08,2.68,457,5.03,451,4.49,464,4.84
United Arab Emirates,SC26Q01,2,54.21,2.75,431,3.39,422,3.54,437,3.60
United Arab Emirates,SC26Q01,3,4.32,0.74,454,13.77,434,9.00,457,12.18
United Arab Emirates,SC26Q01,4,0.01,0.00,a  ,a  ,a  ,a  ,a  ,a  
United Arab Emirates,SC26Q01,m,1.38,0.44,411,11.43,409,8.20,438,13.66
Uruguay,SC26Q01,1,31.31,3.81,426,9.00,425,8.08,432,8.38
Uruguay,SC26Q01,2,59.95,4.21,409,5.12,406,4.69,412,4.74
Uruguay,SC26Q01,3,8.74,2.11,379,10.63,375,6.86,385,7.87
Uruguay,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
