Country,Variable,Category,all_Mean,all_SE,reading_Mean,reading_SE,math_Mean,math_SE,science_Mean,science_SE
Malaysia,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Montenegro,SC01Q01,1,99.62,0.01,422,1.20,410,1.06,410,1.07
Montenegro,SC01Q01,2,0.38,0.01,a  ,a  ,a  ,a  ,a  ,a  
Montenegro,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Perm (Russian Federation),SC01Q01,1,100.00,0.00,482,5.98,484,5.47,480,5.35
Perm (Russian Federation),SC01Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Perm (Russian Federation),SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Peru,SC01Q01,1,76.06,1.89,366,3.83,350,3.17,358,3.17
Peru,SC01Q01,2,23.37,1.84,439,10.28,424,8.92,419,7.21
Peru,SC01Q01,m,0.58,0.58,494,7.07,477,6.10,479,4.80
Qatar,SC01Q01,1,61.94,0.10,350,0.95,335,1.04,341,0.93
Qatar,SC01Q01,2,38.06,0.10,449,1.43,443,1.24,452,1.39
Qatar,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Romania,SC01Q01,1,99.36,0.64,437,3.85,444,3.70,438,3.21
Romania,SC01Q01,2,0.64,0.64,519,7.36,514,3.06,482,4.22
Romania,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Russian Federation,SC01Q01,1,99.36,0.64,474,2.96,482,3.01,486,2.87
Russian Federation,SC01Q01,2,0.64,0.64,a  ,a  ,a  ,a  ,a  ,a  
Russian Federation,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Serbia,SC01Q01,1,99.56,0.35,446,3.85,448,3.89,444,3.85
Serbia,SC01Q01,2,0.44,0.35,a  ,a  ,a  ,a  ,a  ,a  
Serbia,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Singapore,SC01Q01,1,97.61,0.74,542,1.16,574,1.24,552,1.27
Singapore,SC01Q01,2,2.39,0.74,557,27.42,575,19.93,561,24.56
Singapore,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Thailand,SC01Q01,1,83.46,0.60,447,3.27,433,3.81,450,3.25
Thailand,SC01Q01,2,16.54,0.60,413,8.26,397,8.13,415,6.86
Thailand,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Tunisia,SC01Q01,1,98.97,0.56,405,4.50,389,3.88,399,3.46
Tunisia,SC01Q01,2,1.03,0.56,291,16.15,305,19.21,325,12.19
Tunisia,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Arab Emirates,SC01Q01,1,44.12,0.84,413,2.79,399,2.63,419,2.91
United Arab Emirates,SC01Q01,2,55.88,0.84,465,3.70,462,3.56,472,4.26
United Arab Emirates,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Uruguay,SC01Q01,1,83.29,1.25,394,3.22,393,2.62,399,2.81
Uruguay,SC01Q01,2,16.71,1.25,497,6.82,492,6.61,501,6.91
Uruguay,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Vietnam,SC01Q01,1,91.77,1.28,510,4.70,513,5.15,530,4.58
Vietnam,SC01Q01,2,8.23,1.28,491,6.10,495,9.56,512,9.80
Vietnam,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
