OECD PISA 2012 Data File - Interactive Selection
,
Variable: ,PA02Q02,Parent Age - Mother
Full question:,How old are the child’s parents? - Mother                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Category: ,1,Younger than 36 years
,2,36 – 40 years
,3,41 – 45 years
,4,46 – 50 years
,5,51 years or older

,
 , , , , ,Reading,Reading,Mathematics,Mathematics,Science,Science
Country,Variable,Category,%,%SE,Mean,SE,Mean,SE,Mean,SE
OECD Average,PA02Q02,m,4.55,0.11,461,3.11,459,2.97,467,3.01
Non-OECD Countries
Albania,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Albania,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Albania,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Albania,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Albania,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Albania,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Argentina,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Argentina,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Argentina,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Argentina,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Argentina,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Argentina,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Brazil,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Brazil,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Brazil,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Brazil,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Brazil,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Brazil,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Connecticut (USA),PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Connecticut (USA),PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Connecticut (USA),PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Connecticut (USA),PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Connecticut (USA),PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Connecticut (USA),PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Costa Rica,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Costa Rica,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Costa Rica,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Costa Rica,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Costa Rica,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Costa Rica,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Croatia,PA02Q02,1,5.45,0.33,452,7.26,439,6.28,464,5.87
Croatia,PA02Q02,2,27.92,0.79,477,4.06,464,3.71,485,3.65
Croatia,PA02Q02,3,35.08,0.75,492,3.31,479,3.58,499,3.39
Croatia,PA02Q02,4,20.30,0.62,500,4.59,484,5.27,503,4.40
Croatia,PA02Q02,5,9.44,0.53,501,6.34,488,7.59,507,6.73
Croatia,PA02Q02,m,1.80,0.21,451,10.39,440,11.76,460,12.60
Florida (USA),PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Florida (USA),PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Florida (USA),PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Florida (USA),PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Florida (USA),PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Florida (USA),PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Hong Kong-China,PA02Q02,1,2.06,0.22,515,10.18,519,10.60,524,10.22
Hong Kong-China,PA02Q02,2,15.67,0.70,526,4.26,537,4.38,538,4.07
Hong Kong-China,PA02Q02,3,33.68,0.75,545,3.93,564,4.17,557,3.79
Hong Kong-China,PA02Q02,4,30.14,0.99,558,2.96,577,3.17,565,2.85
Hong Kong-China,PA02Q02,5,10.42,0.47,559,4.55,577,5.21,568,4.12
Hong Kong-China,PA02Q02,m,8.03,0.46,530,6.08,542,7.58,542,5.87
Indonesia,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
