Country,Variable,Category,all_Mean,all_SE,reading_Mean,reading_SE,math_Mean,math_SE,science_Mean,science_SE
United Kingdom ,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
OECD Total,PA02Q01,1,3.92,0.10,413,2.39,403,2.07,409,2.15
OECD Total,PA02Q01,2,13.11,0.19,438,1.47,429,1.46,434,1.32
OECD Total,PA02Q01,3,24.97,0.25,478,1.48,476,1.77,477,1.56
OECD Total,PA02Q01,4,26.74,0.25,505,1.45,506,1.73,506,1.54
OECD Total,PA02Q01,5,18.51,0.21,489,1.59,485,1.71,489,1.69
OECD Total,PA02Q01,m,12.75,0.20,458,1.98,456,2.36,458,1.98
OECD Average,PA02Q01,1,2.77,0.08,432,2.59,419,2.44,429,2.54
OECD Average,PA02Q01,2,11.58,0.17,467,2.32,463,2.28,468,2.13
OECD Average,PA02Q01,3,27.45,0.24,493,1.29,492,1.40,495,1.28
OECD Average,PA02Q01,4,28.68,0.24,506,1.26,506,1.34,509,1.26
OECD Average,PA02Q01,5,19.15,0.21,498,1.58,496,1.69,502,1.58
OECD Average,PA02Q01,m,10.37,0.17,465,2.10,459,2.13,468,2.09
Albania,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Albania,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Albania,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Albania,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Albania,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Albania,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Argentina,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Argentina,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Argentina,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Argentina,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Argentina,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Argentina,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Brazil,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Brazil,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Brazil,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Brazil,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Brazil,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Brazil,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Connecticut (USA),PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Connecticut (USA),PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Connecticut (USA),PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Connecticut (USA),PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Connecticut (USA),PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Connecticut (USA),PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Costa Rica,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Costa Rica,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Costa Rica,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
